barcode,name,price,quantity,qty_unit,computed_unit_price,computed_unit_label,has_promo,PromotionIds,RewardTypes,AnyGift,AnyMulti,manufacturer,country,description,price_update_date
7290019481614,נובי10738 כוס מתהפכת ידיות+קשית - ורוד,51.9,0.0,,,,False,,,,,אינטרסן,סין,נובי10738- כוס מסדרת המעצבים עם ידיות+קשית מתהפכת - צבע ורוד,2025-04-09
7290015968072,נובי10738 כוס מתהפכת ידיות+קשית - כחול,51.9,0.0,,,,False,,,,,אינטרסן,סין,נובי10738- כוס מסדרת המעצבים עם ידיות+קשית מתהפכת - צבע כחול,2025-04-09
7290017847696,נווה ספרולקס 30 כמוסות,100.9,30.0,,,,True,4258167,2,0,1,נוה פארמה,ישראל,ספרולקס,2025-04-28
7290017847153,נווה פארמה בי פוקוס 60 סוכריות גל,161.9,60.0,,,,True,4258169,2,0,1,נוה פארמה,ישראל,BE FOCUS סוכריות מרקם ג'לי  בטעם פירות טרופיים,2025-04-28
7290017847719,נווה פוסטביוטיקס שייפר 60 כמוסות,171.9,60.0,,,,False,,,,,נוה פארמה,ישראל,פוסטביוטיקס שייפר,2025-04-28
7290017847733,נווה רילקסה מיצוי צמחים 50 מל,100.9,50.0,ml,201.8,per_100ml,True,4258167,2,0,1,נוה פארמה,ישראל,רילקסה מיצוי צמחים,2025-04-28
7290119919468,נוזל מרוכז לניקוי רב תכליתי שמן אורנים,13.9,1.0,,,,True,4258058,4,0,1,זוהר דליה,ישראל,נוזל מרוכז לניקוי רב תכליתי בתוספת שמן אורנים,2025-05-11
8000500359358,נוטלה ביסקוויט אריזת שלישייה,7.9,3.0,,,,False,,,,,General,איטליה,ביסקוויטים במילוי נוטלה - ממרח קקאו עם אגוזי לוז,2025-05-05
80177173,נוטלה ממרח 350גר,25.9,350.0,g,7.4,per_100g,False,,,,,General,איטליה,ממרח אגוזי לוז עם קקאו,2025-05-05
009800800056,נוטלה&GO,8.9,52.0,g,17.12,per_100g,False,,,,,General,גרמניה,&GO!,2025-05-05
8712400714105,נוטרילון ללא לקטוז 400 גרם מזון לתינוקות,49.3,400.0,g,12.32,per_100g,True,3990138,3,0,1,טבע,,תרכובת מזון לתינוקות ללא לקטוז,2025-08-15
8712400802482,נוטרילון מזון לתינוקות שלב 1 400 גרם,50.3,400.0,g,12.57,per_100g,True,3990138,3,0,1,טבע,,תרכובת מזון לתינוקות שלב 1,2025-08-15
8712400802499,נוטרילון מזון לתינוקות שלב 1 800 גרם,75.5,800.0,g,9.44,per_100g,True,"3990138,4258719","1,3",0,1,טבע,,תרכובת מזון לתינוקות שלב1,2025-01-16
8712400802505,נוטרילון מזון לתינוקות שלב 2 400 גרם,50.3,400.0,g,12.57,per_100g,True,3990138,3,0,1,טבע,,תרכובת מזון לתינוקות שלב 2,2025-08-15
8712400802512,נוטרילון מזון לתינוקות שלב 2 800 גרם,75.5,800.0,g,9.44,per_100g,True,"3990138,4258719","1,3",0,1,טבע,,תרכובת מזון לתינוקות שלב 2,2025-01-16
8712400802536,נוטרילון מזון לתינוקות שלב 3 800 גרם,75.5,800.0,g,9.44,per_100g,True,"3990138,4258719","1,3",0,1,טבע,,תרכובת מזון לתינוקות שלב 3,2025-01-16
8718117608904,נוטרילון פגים 900 גרם,96.7,900.0,g,10.74,per_100g,True,3990138,3,0,1,טבע,הולנד,תרכובת מזון לפגים ותינוקות משקל לידה נמוך על בסיס חלב,2025-01-16
8712400717984,נוטרילון קומפורט 400 גרם מזון לתינוקות,52.3,400.0,g,13.07,per_100g,True,3990138,3,0,1,טבע,,קומפורט - תרכובת מזון לתינוקות על בסיס חלב,2025-08-15
7290110730109,נוטרילון קומפורט 900 גרם מזון לתינוקות,110.8,900.0,g,12.31,per_100g,True,3990138,3,0,1,טבע,הולנד,קומפורט - תרכובת מזון לתינוקות על בסיס חלב,2025-08-15
7290004933074,נוטריקר אל.אקס קר 60 כמוסות,70.9,60.0,,,,False,,,,,מרשל,,אל.אקס קר,2025-04-28
7290011291075,נוטריקר אל.אקס קר מארז זוג 120 כמוסות,108.9,120.0,,,,True,4257523,3,0,1,מרשל,ישראל,אל.אקס קר מארז זוג,2025-04-28
7290014981508,נוטריקר אלואה 100 כמוסות,110.9,100.0,,,,False,,,,,מרשל,ישראל,כמוסות אלואה,2025-04-28
7290017490984,נוטריקר בוסוואליה קומפלקס 60 כמוסות,107.9,60.0,,,,False,,,,,מרשל,ישראל,בוסוואליה קומפלקס ולציטין חמניות,2025-04-28
7290018439807,נוטריקר בטר שייפ 120 כמוסות,201.9,120.0,,,,False,,,,,מרשל,ישראל,בטר שייפ,2025-04-28
7290014981782,נוטריקר בי12 מתילקובלמין 1000 מג 90 לכסנ,73.9,90.0,,,,False,,,,,מרשל,ישראל,"ויטמין B12 מתילקובאלאמין 1000 מק""ג",2025-04-28
7290017490328,נוטריקר ביוטי קולגן H אבקת חלבון 150 גרם,151.9,150.0,,,,False,,,,,מרשל,ישראל,ביוטי קולגן H אבקת חלבון קולגן בטעם וניל,2025-04-28
7290018439197,נוטריקר בלאק גארד 60 כמוסות,179.9,60.0,,,,False,,,,,מרשל,ישראל,בלאק גארד שום שחור + ליקוריץ,2025-04-28
7290017490342,נוטריקר ברזל ליפוזופר 90 כמוסות,134.0,90.0,,,,False,,,,,מרשל,ישראל,ברזל ליפוזופר,2025-04-28
7290012430473,נוטריקר גדילן מצוי 60 כמוסות,98.9,60.0,,,,False,,,,,מרשל,ישראל,גדילן מצוי,2025-04-28
