PriceUpdateDate,ItemCode,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,blsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
2025-04-29,7290016186307,קלציצו בטעם מנטה,כ.צ.ט,נורבגיה,D3 בטעם מנטה,,60.00,0.00,0,1.00,59.90,0.99,1,0
2025-05-25,7290019780427,נועה קירל ספריי חזק לעיצוב השיער,General,ישראל,ספריי חזק לעיצוב השיער,מיליליטר,480.00,"100 מ""ל",0,1.00,54.90,0.00,1,0
2025-06-01,3390150574597,פאיו קרם ידיים עשיר 30 מל,לילית,צרפת,קרם ידיים עשיר,מיליליטר,30.00,"100 מ""ל",0,1.00,26.00,0.00,1,0
2025-08-11,7290106721906,מאסט צנצנת בטעם בזוקה,שטראוס גרופ,ישראל,גומי לעיסה ללא סוכר בטעם בזוקה,גרם,66.00,100 גרם,0,1.00,13.90,0.00,1,0
2025-04-29,7290014546530,סופהרב ביו 25 LR פרווה 30 כמוסות,אמברוזיה/סולגר,ישראל,ביו-25 LR פרוביוטיקה,,30.00,0.00,0,1.00,146.90,4.89,1,0
2025-01-17,3666057033858,קלרנס לגבר קרם עיניים פירמינג,אלפא,,LINE CONTROL קרם עיניים לגבר,,0.00,0.00,0,1.00,273.00,273.00,1,0
2025-06-01,7290104964084,קרליין מולטי אפקט קרם יום SPF25,אגיס,ישראל,MULTI EFFECT קרם יום SPF25,מיליליטר,50.00,"100 מ""ל",0,1.00,51.00,0.01,1,0
2025-04-21,8809326333661,סאם ביי מי- מי פנים 30 הימים בשילוב חומצ,General,קוריאה הדרומית,AHA-BHA-PHA מי פנים 30 הימים בשילוב חומצות,מיליליטר,150.00,"100 מ""ל",0,1.00,75.90,0.00,1,0
2025-08-15,4015400563747,אולוויז מגן תחתון דואו נורמל 60 יח,דיפלומט,אוקראינה,מגני תחתון נורמל,,60.00,0.00,0,1.00,27.90,0.46,1,0
2025-06-01,7290110458539,גייד ויטלאז קרם למתיחה ולמיצוק לפנים ול,דניה,שווייץ,VITALAGE LIFT & FIRM קרם למתיחה ולמיצוק לפנים ולצוואר,מיליליטר,10.00,"100 מ""ל",0,1.00,80.00,0.08,1,0
2025-08-15,7290108357097,קרליין נושם BIO דאו ספריי Velvet Rose,החברה הדרומית,ישראל,נושם BIO דאו ספריי Velvet Rose,מיליליטר,150.00,"100 מ""ל",0,1.00,14.90,0.00,1,0
2025-07-15,7290121160322,מאסטר שף ניוקי תפוח אדמה 500 גרם,שסטוביץ,איטליה,ניוקי תפוחי אדמה,גרם,500.00,100 גרם,0,1.00,12.90,0.00,1,0
2025-05-14,887167817524,אסתי אדבנס נייט ריפר תיק עם מוצרים בגודל,אלקליל,בריטניה,ADVANCED NIGHT REPAIR תיק יוקרתי המכיל : קצף ניקוי + סרום + קרם לחות + ג'ל עיניים,,0.00,0.00,0,1.00,129.00,129.00,1,0
2025-06-01,9007867760055,יובנה קרם עיניים,לילית,,SKIN ENERGY קרם עיניים,מיליליטר,15.00,"100 מ""ל",0,1.00,151.00,0.10,1,0
2025-07-17,020714770020,קליניק סופר דיפנס קרם לילה לעור שמן 50 מ,General,בריטניה,SUPERDEFENSE קרם לחות ללילה לעור שמן,מיליליטר,50.00,"100 מ""ל",0,1.00,345.00,0.06,1,0
2025-04-15,7290113826021,לייף זוג מוצצים 0-6 AIRFLOW ורוד שועל,לייף,סין,מוצצים 0-6 AIRFLOW ורוד שועל,,2.00,0.00,0,1.00,34.90,17.45,1,0
2025-01-20,085805032999,ארדן קרם ידיים ל- 8 שעות,General,,,מיליליטר,75.00,0.00,0,1.00,159.00,159.00,1,0
2025-08-15,3600542385091,גרניה אקשן קונטרול טרמיק 72 שעות דאו רול,לוריאל,פולין,דאודורנט רול אקשן קונטרול טרמיק 72 שעות,מיליליטר,50.00,"100 מ""ל",0,1.00,17.90,0.00,1,0
2025-05-11,7290113827837,לייף 2 טבליות שמנים ארומטיים,PROSEEKERS LIFE,סין,טבליות שמנים ארומטיים מחומרים טבעיים בלבד,,2.00,0.00,0,1.00,19.90,9.95,1,0
2025-05-14,7290119380206,קפסולות קפה מילאנו 5,שטראוס גרופ,ישראל,קפסולות קפה מילאנו 5,,10.00,0.00,0,1.00,20.90,2.09,1,0
2025-06-01,3390150585418,פאיו קרם גל לחות 50 מל,לילית,צרפת,קרם ג'ל לחות,מיליליטר,50.00,"100 מ""ל",0,1.00,141.00,0.02,1,0
2025-04-09,3614228865746,סופט קולור 80 בלונד בהיר,דיפלומט,גרמניה,ערכת צבע לשיער ללא אמוניה 80 בלונד בהיר,,0.00,0.00,0,1.00,42.90,42.90,1,0
2025-06-01,3390150585579,פאיו N2 קרם לחות להרגעת עור רגיש ומגורה,לילית,צרפת,N2 קרם לחות להרגעת עור רגיש ומגורה,מיליליטר,50.00,"100 מ""ל",0,1.00,141.00,0.02,1,0
2025-08-15,7290117860496,הוואי שמפו + מרכך 2 ב-1 לגבר 650 מל,הנקל סוד,ישראל,MEN שמפו + מרכך 2 ב-1 לכל סוגי השיער,מיליליטר,650.00,"100 מ""ל",0,1.00,15.90,0.00,1,0
2025-06-17,7290100271438,גייד לק טופ שיין,General,,TOP COAT לק,,0.00,0.00,0,1.00,39.00,39.00,1,0
2025-06-23,3661434014116,אוריאז באריסן סטיק מינרלי +SPF50 להגנה,סמואלוב,צרפת,באריאסן סטיק מינרלי +SPF50ּּ להגנה גבוהה מאוד מהשמש UVA-UVB,,18.00,0.00,0,1.00,89.90,4.99,1,0
2025-05-15,30189478,אססי גל קוטור לק 557,לוריאל,ספרד,GEL COUTURE לק 557,,0.00,0.00,0,1.00,51.00,51.00,1,0
2025-08-13,3614272049161,לנקום אבסולו ריצ קרם לחות 60 מל,General,צרפת,ABSOLUE RICH קרם לחות,מיליליטר,60.00,"100 מ""ל",0,1.00,1058.00,0.17,1,0
2025-04-22,0033984010574,סולגר שמן נר הלילה 1300 60 כמוסות,אמברוזיה/סולגר,,"שמן נר הלילה 1300 מ""ג",,60.00,0.00,0,1.00,224.90,3.74,1,0
2025-04-09,3600524059101,אקסלנס קרם ניודס בלונד אוניברסלי 7U,לוריאל,בלגיה,ניודס - ללא אמוניה צבע שיער מטפח -  בלונד אוניברסלי 7U,,0.00,0.00,0,1.00,45.90,45.90,1,0
2025-06-01,4005808148837,ניוואה יאנג גל גרגירים לשימוש יום יומי,אלפא,,יאנג ג'ל גרגירים,מיליליטר,150.00,"100 מ""ל",0,1.00,41.00,0.00,1,0
